id,UserID,TestID,library,soundQuality,soundSpatialQuality,duration,versionSha,os
529,user_yjkKyIEqFKwpsKTSMBUP5,l9I4TBR2dsGOe-BJVE7zm,mach1,6,3,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
530,user_dhvzbS5ERbZh4GkJyKxu3,c4wAtrYVW3n5v3LMwW5Ne,resonance,5,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
531,user_dhvzbS5ERbZh4GkJyKxu3,c4wAtrYVW3n5v3LMwW5Ne,web-api,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
532,user_dhvzbS5ERbZh4GkJyKxu3,c4wAtrYVW3n5v3LMwW5Ne,js-ambisonics,2,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
533,user_dhvzbS5ERbZh4GkJyKxu3,c4wAtrYVW3n5v3LMwW5Ne,mach1,7,2,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
538,user_Uv33-7chXsjUF0p2ewZn1,6RlhViOL8U_v0Wkii85X2,resonance,5,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,linux
539,user_Uv33-7chXsjUF0p2ewZn1,6RlhViOL8U_v0Wkii85X2,web-api,1,1,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,linux
540,user_Uv33-7chXsjUF0p2ewZn1,6RlhViOL8U_v0Wkii85X2,js-ambisonics,5,9,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,linux
541,user_Uv33-7chXsjUF0p2ewZn1,6RlhViOL8U_v0Wkii85X2,mach1,9,2,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,linux
598,user_314uFGvf6xOh2NKwHc2#FSE,hO7c1GTWpx_e5WA3k6KcD,resonance,7,7,,780c00fc6848d38b517384c79145f2022749694d,macos
601,user_314uFGvf6xOh2NKwHc2#FSE,hO7c1GTWpx_e5WA3k6KcD,mach1,8,9,,780c00fc6848d38b517384c79145f2022749694d,macos
600,user_314uFGvf6xOh2NKwHc2#FSE,hO7c1GTWpx_e5WA3k6KcD,js-ambisonics,6,8,,780c00fc6848d38b517384c79145f2022749694d,macos
599,user_314uFGvf6xOh2NKwHc2#FSE,hO7c1GTWpx_e5WA3k6KcD,web-api,9,7,,780c00fc6848d38b517384c79145f2022749694d,macos
545,user_rmNfMn63zeX-TYzRI9h9h,b6fLjZ-gzvfa2-xOUN6q-,mach1,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
542,user_rmNfMn63zeX-TYzRI9h9h,b6fLjZ-gzvfa2-xOUN6q-,resonance,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
543,user_rmNfMn63zeX-TYzRI9h9h,b6fLjZ-gzvfa2-xOUN6q-,web-api,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
544,user_rmNfMn63zeX-TYzRI9h9h,b6fLjZ-gzvfa2-xOUN6q-,js-ambisonics,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
546,user_4ypeMSKIUItDPB4bDIODM,7vEpj5iMN30JxD2LVYZQA,resonance,3,4,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
547,user_4ypeMSKIUItDPB4bDIODM,7vEpj5iMN30JxD2LVYZQA,web-api,3,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
548,user_4ypeMSKIUItDPB4bDIODM,7vEpj5iMN30JxD2LVYZQA,js-ambisonics,2,3,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
549,user_4ypeMSKIUItDPB4bDIODM,7vEpj5iMN30JxD2LVYZQA,mach1,10,10,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,windows
550,user_oo_5iZPTNRNfIHhVHw_DD,N8dWqKsfPsuDxOZRS8j6P,resonance,1,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
551,user_oo_5iZPTNRNfIHhVHw_DD,N8dWqKsfPsuDxOZRS8j6P,web-api,4,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
552,user_oo_5iZPTNRNfIHhVHw_DD,N8dWqKsfPsuDxOZRS8j6P,js-ambisonics,1,5,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
553,user_oo_5iZPTNRNfIHhVHw_DD,N8dWqKsfPsuDxOZRS8j6P,mach1,4,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
586,user_H-6uFGvf6xOh2NKwHc2LKE,NlmCqRDCsadTs2mtKc6Af,resonance,7,9,,780c00fc6848d38b517384c79145f2022749694d,macos
589,user_H-6uFGvf6xOh2NKwHc2LKE,NlmCqRDCsadTs2mtKc6Af,mach1,8,7,,780c00fc6848d38b517384c79145f2022749694d,macos
588,user_H-6uFGvf6xOh2NKwHc2LKE,NlmCqRDCsadTs2mtKc6Af,js-ambisonics,6,8,,780c00fc6848d38b517384c79145f2022749694d,macos
587,user_H-6uFGvf6xOh2NKwHc2LKE,NlmCqRDCsadTs2mtKc6Af,web-api,8,8,,780c00fc6848d38b517384c79145f2022749694d,macos
557,user_022bItMAnGp_LHmsRULoh,UYE7K-TlDfU09MoEqVk30,mach1,4,3,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
554,user_022bItMAnGp_LHmsRULoh,UYE7K-TlDfU09MoEqVk30,resonance,5,7,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
555,user_022bItMAnGp_LHmsRULoh,UYE7K-TlDfU09MoEqVk30,web-api,7,6,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
556,user_022bItMAnGp_LHmsRULoh,UYE7K-TlDfU09MoEqVk30,js-ambisonics,3,7,,69f856d4a458de2db64364c4de1b8229b4bcbd8e,macos
