id,UserID,TestID,trueAzimuth,trueElevation,guessedAzimuth,guessedElevation,isBypassed,guessedIsBypassed,library,guessType,sample,view,createdAt,updatedAt,duration,versionSha,os
8178,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,90,0,30,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8179,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,45,0,45,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8180,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,225,0,270,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8181,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,315,0,270,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8182,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,45,0,90,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8183,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,180,0,240,0,false,false,js-ambisonics,,/sample-speech.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8186,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,225,0,150,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8187,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,180,0,150,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8188,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,270,0,255,0,false,false,js-ambisonics,,/sample-environmental.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
8189,user_U3NS8lpiCF4rXn3GgN9Ur,3muuuu46jR0dbI2vby_nF,270,0,330,0,false,false,js-ambisonics,,/sample-pinknoise.mp3,outside,Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),Sat Apr 13 2024 12:20:28 GMT+0000 (Coordinated Universal Time),0,c7a4462f99ba76275ddaeffeab14ee739d6cae8b,undetermined
